id,release_date,budget,revenue,adjusted_budget,num_of_tickets_sold,year,cost_per_ticket
1574,2002-12-26,45000000,306776732,72573149.74182445,190221218.02774814,2002,5.81
1576,2002-03-15,33000000,102984862,53220309.810671255,63857208.9882604,2002,5.81
1577,2004-09-10,45000000,129394835,67898550.72463767,85756875.70437568,2004,6.21
1578,1980-11-14,18000000,23000000,62698884.758364305,6602988.260405551,1980,2.69
1579,2006-12-07,40000000,120175290,57221374.04580153,84007273.15901814,2006,6.55
1581,2006-12-08,85000000,194168700,121595419.84732825,135731588.5805763,2006,6.55
1584,2003-10-03,35000000,131282949,54386401.32669982,84486252.13127002,2003,6.03
1586,2004-03-12,40000000,92913171,60354267.31078904,61578526.351120606,2004,6.21
1587,1993-12-17,11000000,30000000,24896135.26570048,13255069.370330844,1993,4.14
1588,2000-08-25,28000000,90449929,48675324.67532468,52030428.741728924,2000,5.39
1590,2006-09-10,11000000,6191746,15735877.86259542,4328274.951974386,2006,6.55
1593,2006-10-20,110000000,574480841,157358778.62595418,401584792.8014941,2006,6.55
1597,2000-10-06,55000000,330444045,95612244.89795919,190084674.76520813,2000,5.39
1598,1991-11-15,35000000,182300000,77897862.23277909,81908537.886873,1991,4.21
1599,2004-09-10,22000000,0,33194847.020933975,0.0,2004,6.21
1613,2001-12-07,28,14,46.35335689045936,8.456776947705444,2001,5.66
1619,2000-09-08,8500000,19125401,14776437.84786642,11001698.120597651,2000,5.39
